iso_code,region_group,income_group,country,survey,year,level,grade,category,Sex,Location,Wealth,Region,Ethnicity,Religion,Language,comp_prim_v2_m,comp_lowsec_v2_m,comp_upsec_v2_m,comp_prim_1524_m,comp_lowsec_1524_m,comp_upsec_2029_m,eduyears_2024_m,edu2_2024_m,edu4_2024_m,eduout_prim_m,eduout_lowsec_m,eduout_upsec_m,comp_prim_v2_no,comp_lowsec_v2_no,comp_upsec_v2_no,comp_prim_1524_no,comp_lowsec_1524_no,comp_upsec_2029_no,eduyears_2024_no,edu2_2024_no,edu4_2024_no,eduout_prim_no,eduout_lowsec_no,eduout_upsec_no,preschool_3_m,preschool_3_no,preschool_1ybefore_m,preschool_1ybefore_no,edu0_prim_m,edu0_prim_no,trans_prim_m,trans_prim_no,trans_lowsec_m,trans_lowsec_no,comp_higher_2yrs_2529_m,comp_higher_2yrs_2529_no,comp_higher_4yrs_2529_m,comp_higher_4yrs_2529_no,comp_higher_4yrs_3034_m,comp_higher_4yrs_3034_no,attend_higher_1822_m,attend_higher_1822_no,overage2plus_m,overage2plus_no,literacy_1524_m,literacy_1524_no,mlevel1_m,mlevel1_no,mlevel1_sd,rlevel1_m,rlevel1_no,rlevel1_sd,slevel1_m,slevel1_no,slevel1_sd,mlevel2_m,mlevel2_no,rlevel2_m,rlevel2_no,slevel2_m,slevel2_no,mlevel3_m,mlevel3_no,rlevel3_m,rlevel3_no,slevel3_m,slevel3_no,mlevel4_m,mlevel4_no,rlevel4_m,rlevel4_no,slevel4_m,slevel4_no
NPL,Central and Southern Asia,Low income countries,Nepal,DHS,2001,,,Ethnicity,,,,,Sharki,,,,,,0.2275,0.0665,0,,,,0.196,,,17,18,16,61,61,47,28,28,28,31,21,27,,0,,0,,0,,2,,1,0,32,0,32,,25,0,43,,0,0.3635,77,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPL,Central and Southern Asia,Low income countries,Nepal,DHS,2001,,,Ethnicity,,,,,Tamang,,,0.349,0.1596,0,0.3261,0.1551,0,0.0283,0.5347,0.6375,0.1979,0.309,0.6471,60,45,40,142,142,120,62,62,62,145,67,67,,0,,0,,0,,5,,5,0,107,0,107,0.0195,111,0,117,,0,0.6376,204,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPL,Central and Southern Asia,Low income countries,Nepal,DHS,2001,,,Ethnicity,,,,,Tarai Others,,,,,,0.4014,0.157,0.0153,,,,0.5445,0.5718,0.7348,25,25,11,67,67,63,23,23,23,96,34,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPL,Central and Southern Asia,Low income countries,Nepal,DHS,2001,,,Ethnicity,,,,,Teli,,,,,,0.5561,0.2493,,,,,,,,12,12,11,38,38,26,17,17,17,24,14,17,,0,,0,,0,,3,,4,,22,,22,,16,,28,,0,0.7174,67,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPL,Central and Southern Asia,Low income countries,Nepal,DHS,2001,,,Ethnicity,,,,,Thakuri,,,,,,0.58,0.2915,0.0453,,,,0.1134,,,13,12,18,49,49,53,27,27,27,46,20,19,,0,,0,,0,,4,,9,0.0767,45,0,45,0.1095,41,0,49,,0,0.8783,120,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPL,Central and Southern Asia,Low income countries,Nepal,DHS,2001,,,Ethnicity,,,,,Tharu,,,0.3146,0.1796,0.0322,0.3976,0.1433,0.011,0.0262,0.5964,0.6699,0.2047,0.2835,0.5621,80,74,43,193,193,142,79,79,79,151,82,104,,0,,0,,0,,7,,7,0,164,0,164,0,153,0.0253,175,,1,0.6503,329,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPL,Central and Southern Asia,Low income countries,Nepal,DHS,2001,,,Ethnicity,,,,,Yadav Ahir,,,,,,0.3324,0.1877,0,,,,0.3915,,,11,22,11,52,52,39,21,21,21,43,19,29,,0,,0,,0,,2,,4,0,60,0,60,0,45,0,46,,0,0.5869,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPL,Central and Southern Asia,Low income countries,Nepal,DHS,2001,,,Location,,Rural,,,,,,0.4946,0.2672,0.0338,0.4705,0.2574,0.0379,0.0384,0.4666,0.5368,0.2493,0.2954,0.5805,2686,2429,1920,7168,7168,5871,3176,3176,3176,5843,3140,3486,,0,,0,0.3926,5380,0.7794,1810,0.6852,977,0.0379,2571,0.0145,2571,0.0144,2395,0.0582,3183,0.5129,6759,0.7106,3253,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPL,Central and Southern Asia,Low income countries,Nepal,DHS,2001,,,Location,,Urban,,,,,,0.7583,0.6101,0.1822,0.7783,0.6025,0.1862,0.0756,0.1468,0.1973,0.0897,0.1668,0.4085,466,437,416,1404,1404,1211,676,676,676,803,501,602,,0,,0,0.1817,793,0.9162,497,0.8375,419,0.1812,525,0.0858,525,0.0677,406,0.2568,672,0.3511,1050,0.9223,655,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPL,Central and Southern Asia,Low income countries,Nepal,DHS,2001,,,Location & Ethnicity,,Rural,,,Brahmin,,,0.867,0.5366,0.0377,0.8184,0.5739,0.0881,0.0721,0.1456,0.1735,0.0609,0.0856,0.2461,111,68,48,194,194,162,82,82,82,219,146,117,,0,,0,,0,,13,0.7023,35,0.0867,189,0.008,189,0.0609,195,0.1239,149,,0,0.96,458,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPL,Central and Southern Asia,Low income countries,Nepal,DHS,2001,,,Location & Ethnicity,,Rural,,,Chhetri,,,0.5842,0.3616,0.0487,0.5325,0.3268,0.0315,0.0403,0.4796,0.5277,0.1507,0.1901,0.4783,160,116,101,369,369,321,170,170,170,347,195,179,,0,,0,,0,,11,,29,0.0319,316,0.0076,316,0,305,0.0248,321,,0,0.7455,684,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPL,Central and Southern Asia,Low income countries,Nepal,DHS,2001,,,Location & Ethnicity,,Rural,,,Damai,,,,,,0.1891,0.0591,0,,,,0.1782,0.2709,,18,20,16,53,53,33,19,19,19,58,34,27,,0,,0,,0,,2,,1,0,33,0,33,,28,0,56,,0,0.508,97,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPL,Central and Southern Asia,Low income countries,Nepal,DHS,2001,,,Location & Ethnicity,,Rural,,,Kami,,,0.3497,0.2059,0,0.3483,0.1013,0,0.022,0.5608,0.7049,0.1277,0.3466,0.6641,47,41,33,125,125,106,57,57,57,126,68,60,,0,,0,,0,,9,,10,0,108,0,108,0,77,0.0086,106,,0,0.5911,205,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPL,Central and Southern Asia,Low income countries,Nepal,DHS,2001,,,Location & Ethnicity,,Rural,,,Limbu,,,0.6864,0.2129,0.0545,0.7155,0.3027,0.0246,0.0574,0.1983,0.3333,0.1318,0.104,0.3161,38,37,31,98,98,64,42,42,42,62,41,50,,0,,0,,0,,1,,5,,18,,18,,22,,19,,0,0.9532,46,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPL,Central and Southern Asia,Low income countries,Nepal,DHS,2001,,,Location & Ethnicity,,Rural,,,Magar,,,0.621,0.285,,0.56,0.3052,0,0.0399,0.3884,0.5223,0.115,0.2177,0.4662,56,50,29,120,120,91,48,48,48,131,61,75,,0,,0,,0,,7,,9,0,111,0,111,0,103,0,80,,1,0.8269,183,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPL,Central and Southern Asia,Low income countries,Nepal,DHS,2001,,,Location & Ethnicity,,Rural,,,Muslim,,,0.2059,0.0568,,0.1408,0.0468,0,0.0074,0.8608,0.9229,0.6887,0.6838,0.8812,35,31,21,92,92,55,36,36,36,62,33,48,,0,,0,,0,,1,,1,0,57,0,57,0,73,0.0287,68,,0,0.3642,138,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPL,Central and Southern Asia,Low income countries,Nepal,DHS,2001,,,Location & Ethnicity,,Rural,,,Newar,,,,0.4331,,0.6334,0.4017,0.0401,0.0493,0.3516,0.4671,0.0904,0.0782,0.3921,29,31,17,83,83,56,32,32,32,63,32,41,,0,,0,,0,,2,,8,0,49,0,49,0,44,0,56,,0,0.8319,122,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPL,Central and Southern Asia,Low income countries,Nepal,DHS,2001,,,Location & Ethnicity,,Rural,,,Other,,,0.3887,0.2907,0.1005,0.3953,0.2429,0.0505,0.0319,0.5902,0.6158,0.3606,0.4664,0.6918,57,47,32,135,135,132,55,55,55,171,76,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPL,Central and Southern Asia,Low income countries,Nepal,DHS,2001,,,Location & Ethnicity,,Rural,,,Rai,,,,,,0.5573,0.3006,0.0302,,,,0.0929,0.0445,0.6105,24,24,18,57,57,40,26,26,26,56,31,33,,0,,0,,0,,4,,2,0.1389,35,0,35,0,44,,29,,1,0.8143,70,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPL,Central and Southern Asia,Low income countries,Nepal,DHS,2001,,,Location & Ethnicity,,Rural,,,Sharki,,,,,,0.1785,0.0707,0,,,,0.2032,,,16,16,16,58,58,47,28,28,28,30,21,24,,0,,0,,0,,2,,1,0,32,0,32,,25,0,43,,0,0.3635,77,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPL,Central and Southern Asia,Low income countries,Nepal,DHS,2001,,,Location & Ethnicity,,Rural,,,Tamang,,,0.3357,0.132,0,0.2978,0.121,0,0.0233,0.6007,0.6887,0.1977,0.32,0.6628,54,41,30,125,125,103,52,52,52,130,61,59,,0,,0,,0,,5,,5,0,96,0,96,0,99,0,101,,0,0.6224,186,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPL,Central and Southern Asia,Low income countries,Nepal,DHS,2001,,,Location & Ethnicity,,Rural,,,Tarai Others,,,,,,0.3515,0.1538,0.0171,,,,0.5828,0.577,,18,21,9,57,57,54,20,20,20,87,32,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPL,Central and Southern Asia,Low income countries,Nepal,DHS,2001,,,Location & Ethnicity,,Rural,,,Thakuri,,,,,,0.5643,0.2531,0.0185,,,,0.1271,,,9,10,11,35,35,36,18,18,18,37,16,14,,0,,0,,0,,4,,7,0,37,0,37,0.1208,36,0,38,,0,0.8589,95,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPL,Central and Southern Asia,Low income countries,Nepal,DHS,2001,,,Location & Ethnicity,,Rural,,,Tharu,,,0.3123,0.1634,0.0328,0.3893,0.133,0.0116,0.0259,0.6006,0.6718,0.21,0.2963,0.5735,75,66,41,175,175,125,71,71,71,142,75,97,,0,,0,,0,,7,,7,0,153,0,153,0,147,0.0256,169,,1,0.6482,309,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPL,Central and Southern Asia,Low income countries,Nepal,DHS,2001,,,Location & Ethnicity,,Rural,,,Yadav Ahir,,,,,,0.3324,0.1877,0,,,,0.3978,,,11,22,11,52,52,39,21,21,21,42,19,29,,0,,0,,0,,2,,3,0,60,0,60,0,44,0,45,,0,0.5777,98,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPL,Central and Southern Asia,Low income countries,Nepal,DHS,2001,,,Location & Ethnicity,,Urban,,,Brahmin,,,,,,0.9823,0.746,0.1427,,,,0.0265,,0.1145,29,21,17,66,66,60,29,29,29,41,27,40,,0,,0,,0,,1,,7,0.0479,45,0,45,0.0466,51,0.0846,34,,0,0.9798,145,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPL,Central and Southern Asia,Low income countries,Nepal,DHS,2001,,,Location & Ethnicity,,Urban,,,Chhetri,,,,,,0.8534,0.6238,0.1132,,,,0,,0.3088,26,20,15,55,55,39,24,24,24,32,24,31,,0,,0,,0,,3,,4,0.037,42,0.0186,42,0,32,0,31,,0,0.9694,91,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPL,Central and Southern Asia,Low income countries,Nepal,DHS,2001,,,Location & Ethnicity,,Urban,,,Kami,,,,,,,,,,,,0.2027,,,6,7,8,26,26,19,14,14,14,30,12,11,,0,,0,,0,,0,,3,,7,,7,,23,0.0265,31,,0,0.7853,49,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPL,Central and Southern Asia,Low income countries,Nepal,DHS,2001,,,Location & Ethnicity,,Urban,,,Newar,,,,,,0.8272,0.654,0.2443,,,,,,,15,13,16,41,41,42,23,23,23,28,11,17,,0,,0,,0,,0,,5,0.3384,61,0.1655,61,0.0998,39,,28,,0,0.9478,126,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPL,Central and Southern Asia,Low income countries,Nepal,DHS,2001,,,Location & Ethnicity,,Urban,,,Other,,,,,,0.7329,0.6029,0.0874,,,,,,,13,7,10,31,31,37,19,19,19,22,14,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPL,Central and Southern Asia,Low income countries,Nepal,DHS,2001,,,Location & Religion,,Rural,,,,Buddhist,,0.4132,0.1632,0,0.3368,0.1445,0,0.0239,0.5793,0.6787,0.1787,0.2579,0.6284,73,53,36,152,152,115,59,59,59,175,88,72,,0,,0,,0,,6,,8,0.002,125,0,125,0,129,0,123,,0,0.6854,233,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPL,Central and Southern Asia,Low income countries,Nepal,DHS,2001,,,Location & Religion,,Rural,,,,Hindu,,0.5438,0.2959,0.0329,0.4939,0.2754,0.0304,0.0373,0.4819,0.5552,0.2213,0.263,0.5377,653,558,418,1613,1613,1333,698,698,698,1583,834,839,,0,,0,,0,0.7413,76,0.6753,126,0.0305,1365,0.0025,1365,0.0151,1250,0.0238,1317,,3,0.7331,2862,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPL,Central and Southern Asia,Low income countries,Nepal,DHS,2001,,,Location & Religion,,Rural,,,,Muslim,,0.1918,0.0547,,0.1373,0.0456,0,0.0074,0.8608,0.9229,0.6887,0.6838,0.8896,37,32,21,94,94,55,36,36,36,62,33,51,,0,,0,,0,,1,,1,0,57,0,57,0,74,0.0287,68,,0,0.3652,137,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPL,Central and Southern Asia,Low income countries,Nepal,DHS,2001,,,Location & Religion,,Rural,,,,Other,,0.5833,,,0.7324,0.3015,0.0563,,,,0.1339,0.1023,0.2949,30,25,20,64,64,46,27,27,27,48,31,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPL,Central and Southern Asia,Low income countries,Nepal,DHS,2001,,,Location & Religion,,Urban,,,,Buddhist,,,,,0.7485,0.5309,,,,,0.1207,,,16,9,13,31,31,22,14,14,14,33,15,18,,0,,0,,0,,0,,0,,19,,19,,26,,14,,0,0.9451,44,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPL,Central and Southern Asia,Low income countries,Nepal,DHS,2001,,,Location & Religion,,Urban,,,,Hindu,,0.8016,0.6439,0.1448,0.8138,0.5894,0.123,0.0736,0.156,0.2367,0.0679,0.1389,0.339,120,97,84,296,296,270,140,140,140,208,119,152,,0,,0,,0,,6,0.7846,32,0.1203,241,0.043,241,0.0488,195,0.0732,201,,0,0.929,584,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPL,Central and Southern Asia,Low income countries,Nepal,DHS,2001,,,Location & Sex,Female,Rural,,,,,,0.4063,0.2128,0.0186,0.3452,0.179,0.0135,0.0254,0.634,0.6874,0.3285,0.3934,0.6715,1358,1343,1098,4049,4049,3350,1832,1832,1832,2845,1541,1860,,0,,0,0.4638,2628,0.7677,760,0.6995,398,0.0073,1411,0.0015,1411,0,1263,0.0334,1797,0.5138,3026,0.4449,2591,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPL,Central and Southern Asia,Low income countries,Nepal,DHS,2001,,,Location & Sex,Female,Urban,,,,,,0.7641,0.6143,0.133,0.7097,0.5464,0.1161,0.0668,0.2261,0.2688,0.1266,0.2016,0.4255,242,235,239,740,740,637,373,373,373,390,258,323,,0,,0,0.2171,387,0.93,256,0.8063,201,0.0693,257,0.0338,257,0.0397,197,0.2025,355,0.3715,490,0.8085,508,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPL,Central and Southern Asia,Low income countries,Nepal,DHS,2001,,,Location & Sex,Male,Rural,,,,,,0.5854,0.3354,0.0548,0.6347,0.3602,0.0706,0.0564,0.2359,0.3291,0.1748,0.2006,0.4753,1328,1086,822,3119,3119,2521,1344,1344,1344,2998,1599,1626,,0,,0,0.3249,2752,0.7883,1050,0.675,579,0.0749,1160,0.0303,1160,0.0303,1132,0.0906,1386,0.5122,3733,0.8721,662,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPL,Central and Southern Asia,Low income countries,Nepal,DHS,2001,,,Location & Sex,Male,Urban,,,,,,0.752,0.6052,0.2479,0.8537,0.6642,0.2632,0.0862,0.0509,0.111,0.0551,0.129,0.3885,224,202,177,664,664,574,303,303,303,413,243,279,,0,,0,0.1479,406,0.9007,241,0.8663,218,0.2888,268,0.1357,268,0.0931,209,0.3164,317,0.3328,560,0.9812,147,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPL,Central and Southern Asia,Low income countries,Nepal,DHS,2001,,,Region,,,,Central,,,,0.4738,0.2864,0.0664,0.4396,0.2867,0.0688,0.0404,0.4817,0.5517,0.3052,0.3801,0.6401,757,731,684,2355,2355,2095,1117,1117,1117,1789,864,1013,,0,,0,0.4386,1566,0.8186,528,0.7549,380,0.064,931,0.0255,931,0.0252,767,0.0963,1087,0.4785,1816,0.6894,1105,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPL,Central and Southern Asia,Low income countries,Nepal,DHS,2001,,,Region,,,,Eastern,,,,0.5464,0.321,0.0659,0.5903,0.3408,0.0663,0.053,0.3083,0.374,0.2255,0.247,0.5129,806,765,581,2094,2094,1709,914,914,914,1583,914,1049,,0,,0,0.3365,1475,0.7957,636,0.6976,360,0.0665,721,0.0254,721,0.0142,699,0.0943,924,0.4999,1978,0.8128,787,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPL,Central and Southern Asia,Low income countries,Nepal,DHS,2001,,,Region,,,,Far Western,,,,0.4502,0.2395,0.0332,0.4166,0.222,0.0319,0.032,0.5487,0.6097,0.1888,0.2801,0.5439,566,474,390,1490,1490,1215,673,673,673,1253,711,721,,0,,0,0.3881,1242,0.7639,353,0.6746,199,0.0314,542,0.0119,542,0.0098,485,0.0679,675,0.5545,1589,0.614,724,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPL,Central and Southern Asia,Low income countries,Nepal,DHS,2001,,,Region,,,,Mid Western,,,,0.4659,0.2359,0.0305,0.4369,0.23,0.035,0.034,0.5237,0.5893,0.2503,0.2653,0.5946,436,384,313,1134,1134,906,508,508,508,835,501,544,,0,,0,0.4058,822,0.7866,294,0.688,151,0.0439,398,0.0198,398,0.027,396,0.0642,522,0.5405,979,0.6842,576,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPL,Central and Southern Asia,Low income countries,Nepal,DHS,2001,,,Region,,,,Western,,,,0.6298,0.3897,0.0412,0.6071,0.3536,0.0526,0.049,0.3349,0.4052,0.1494,0.2076,0.5042,587,512,368,1499,1499,1157,640,640,640,1186,651,761,,0,,0,0.2847,1068,0.8113,496,0.733,306,0.0531,504,0.0278,504,0.0208,454,0.0751,647,0.456,1447,0.8367,716,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPL,Central and Southern Asia,Low income countries,Nepal,DHS,2001,,,Religion,,,,,,Buddhist,,0.4484,0.1953,0,0.394,0.1982,0.0063,0.0314,0.4956,0.602,0.1704,0.2503,0.5967,89,62,49,183,183,137,73,73,73,208,103,90,,0,,0,,0,,6,,8,0.0181,144,0.0163,144,0.0176,155,0,137,,0,0.727,277,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPL,Central and Southern Asia,Low income countries,Nepal,DHS,2001,,,Religion,,,,,,Hindu,,0.5727,0.3329,0.0464,0.5292,0.3101,0.0417,0.0417,0.4429,0.5172,0.2084,0.2518,0.5156,773,655,502,1909,1909,1603,838,838,838,1791,953,991,,0,,0,,0,0.7404,82,0.6889,158,0.041,1606,0.0073,1606,0.0186,1445,0.0279,1518,,3,0.7597,3446,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPL,Central and Southern Asia,Low income countries,Nepal,DHS,2001,,,Religion,,,,,,Muslim,,0.1842,0.109,,0.1642,0.0784,0,0.0114,0.8162,0.874,0.6345,0.6561,0.8735,39,36,23,104,104,61,40,40,40,74,38,56,,0,,0,,0,,2,,4,0,64,0,64,0,80,0.0271,76,,0,0.3908,163,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPL,Central and Southern Asia,Low income countries,Nepal,DHS,2001,,,Religion,,,,,,Other,,0.603,,,0.7419,0.3026,0.0543,,,,0.1297,0.0975,0.2975,32,26,20,67,67,48,27,27,27,50,33,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPL,Central and Southern Asia,Low income countries,Nepal,DHS,2001,,,Sex,Female,,,,,,,0.4457,0.2563,0.0338,0.3866,0.2207,0.0258,0.0306,0.5829,0.6349,0.3103,0.3732,0.645,1600,1578,1337,4789,4789,3987,2205,2205,2205,3235,1799,2183,,0,,0,0.4401,3015,0.7988,1016,0.7272,599,0.0147,1668,0.0053,1668,0.004,1460,0.0542,2152,0.4986,3516,0.4896,3099,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPL,Central and Southern Asia,Low income countries,Nepal,DHS,2001,,,Sex,Male,,,,,,,0.6028,0.3667,0.081,0.6637,0.4004,0.0981,0.0606,0.2099,0.2985,0.164,0.1939,0.4661,1552,1288,999,3783,3783,3095,1647,1647,1647,3411,1842,1905,,0,,0,0.308,3158,0.804,1291,0.7158,797,0.106,1428,0.0456,1428,0.0378,1341,0.1229,1703,0.4947,4293,0.8875,809,,,,,,,,,,,,,,,,,,,,,,,,,,,
